,,lane 1,lane 1,lane 1,lane 1,lane 1,lane 1,lane 1,lane 1,lane 2,lane 2,lane 2,lane 2,lane 2,lane 2,lane 2,lane 2,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 3 ,lane 4,lane 4,lane 4,lane 4,lane 4,lane 4,lane 4,lane 4,lane 5,lane 5,lane 5,lane 5,lane 5,lane 5,lane 5,lane 5
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
month,timebins_int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,82.0,2.172801707317073,0.9099236010417863,0.0,1.8175,2.08,2.57749,4.72999,82.0,1.9609732926829266,0.37749721482761256,1.27,1.7524925,1.895,2.0875,3.51999,82.0,1.8690226829268293,0.6486883868238436,0.59,1.5150000000000001,1.815,2.1325,4.26999,82.0,1.0114628048780487,0.615267846291101,0.06,0.52,0.795,1.5775000000000001,2.29999,82.0,1.7769495121951218,1.0437856098893608,0.25,0.8624999999999999,1.815,2.5249900000000003,4.58
2,2,82.0,2.3448737804878053,1.2132766103811106,0.0,1.8925,2.17,2.9325,7.639989999999999,82.0,2.150851219512195,0.7099349560440794,1.34,1.8525000000000003,1.99,2.1475,6.39,82.0,2.148412317073171,1.0304488108925516,0.8,1.685,1.86,2.2549925,8.34999,82.0,1.1385358536585368,0.7136733597277292,0.08,0.5525,1.16,1.74,3.27999,82.0,2.0019493902439027,1.3247132659303003,0.31,1.1375,1.855,2.6049975,7.77999
2,3,86.0,2.5255782558139535,1.436533287614311,0.0,1.86,2.17,3.00999,9.149989999999999,86.0,2.127323372093023,0.9327106951305147,1.25,1.8,1.895,2.2,8.229989999999999,86.0,2.1854633720930234,1.3138592145732677,1.18,1.6025000000000003,1.91,2.2075,9.999989999999999,86.0,1.1886036046511628,0.8191459922151532,0.1,0.40750000000000003,1.295,1.8175,4.77999,86.0,2.064997790697675,1.5475754665680435,0.31,1.0150000000000001,1.77,2.7424925,9.35999
2,4,82.0,2.808045609756098,1.9687634258747213,0.0,1.8574975000000002,2.26999,3.05999,9.999989999999999,82.0,2.590362804878049,1.4896165610240846,1.45,1.815,2.0049900000000003,2.58249,9.38999,82.0,2.520973536585366,1.9049966756857495,0.94,1.5425,1.915,2.25749,9.999989999999999,82.0,1.4115837804878049,1.0705738597047205,0.1,0.49,1.44,1.8774899999999999,5.91,82.0,2.431338170731707,2.1432309795422078,0.33,0.8275,1.99,3.06499,9.999989999999999
2,5,80.0,2.7831212499999998,1.9356885133185437,0.0,1.9124999999999999,2.334995,3.07499,9.95999,80.0,2.5333727500000003,1.4035317169865735,1.34,1.77,2.02499,2.4275,8.91,80.0,2.593247125,2.0068465637255875,0.73,1.565,1.9649999999999999,2.4275,9.999989999999999,80.0,1.3797488750000002,1.0336536522734352,0.1,0.41000000000000003,1.565,1.8774925000000002,5.47999,80.0,2.5392470000000005,2.197575082577514,0.34,0.7400000000000001,2.084995,3.25249,9.999989999999999
2,6,88.0,2.8348827272727273,1.8446774000523074,0.0,1.8649925,2.5799950000000003,3.1425,9.17999,88.0,2.6782919318181815,1.7049937508341726,0.63,1.79,2.01999,2.5624975,9.999989999999999,88.0,2.5574976136363636,1.964297031263315,0.56,1.6474999999999997,1.9049999999999998,2.26249,9.999989999999999,88.0,1.4370438636363636,0.9823241674844314,0.08,0.41,1.6349999999999998,2.03999,4.74,88.0,2.4118153409090906,2.1794838648776347,0.23,0.4925,1.8899949999999999,3.1599999999999997,9.35999
2,7,80.0,2.388497375,1.3145584808747983,0.0,1.76,2.09,3.0524899999999997,6.91,80.0,2.08674825,1.1270439429122214,0.98,1.6675,1.82,2.0724925,9.999989999999999,80.0,2.081123125,1.1427389952432727,0.62,1.46,1.85,2.3425,7.43,80.0,1.1829990000000001,0.7284138297361509,0.14,0.535,1.025,1.8325,2.68,80.0,1.950747625,1.435887840223561,0.26,0.435,1.839995,2.7524975,6.95
2,8,82.0,2.21609512195122,1.2054303358421437,0.0,1.71,2.0949999999999998,3.0049925,6.3299900000000004,82.0,2.117315,1.3558862485758754,1.01,1.6549999999999998,1.85,2.01999,9.999989999999999,82.0,1.9336559756097564,0.8689795461171823,0.72,1.5225000000000002,1.86999,2.1625,6.49,82.0,1.0956089024390243,0.6369788171972752,0.09,0.4675,1.0150000000000001,1.7175,2.1,82.0,1.7258517073170734,1.2668139549764106,0.27,0.4725,1.7850000000000001,2.56249,6.16
2,9,86.0,2.1727879069767444,1.0963560294089918,0.0,1.66,1.9949949999999999,2.9325,5.85,86.0,1.986044069767442,0.9774889664193029,1.22,1.6249925,1.84,2.00999,9.999989999999999,86.0,1.908021395348837,0.813711396462006,0.64,1.4274999999999998,1.8250000000000002,2.1425,5.72999,86.0,1.0520927906976745,0.5848659267149355,0.12,0.555,0.915,1.6349974999999999,1.9999900000000002,86.0,1.7410446511627906,1.223274709901253,0.24,0.4675,1.8250000000000002,2.31499,5.68
2,10,82.0,2.1380463414634145,1.194363633575919,0.0,1.6724999999999999,1.99,2.78999,5.76999,82.0,2.0321931707317074,0.9534431404112308,1.06,1.7125,1.835,2.095,9.27999,82.0,1.8958520731707316,0.8610929544103558,0.81,1.4649999999999999,1.71,2.06999,5.8299900000000004,82.0,1.0628042682926828,0.573218846870445,0.09,0.57,0.98,1.6075,2.4,82.0,1.7159740243902442,1.2346973373618908,0.27,0.645,1.665,2.32749,5.91
2,11,82.0,2.0706071951219513,1.0624270116969887,0.0,1.7075,1.884995,2.53499,5.26999,82.0,1.992070365853659,0.8171305418495391,1.26,1.6825,1.835,2.01999,8.46,82.0,1.8895107317073172,0.7942053080005498,0.66,1.45,1.7349999999999999,2.1675,4.97999,82.0,1.022072926829268,0.5846652143663871,0.06,0.54,0.9,1.5450000000000002,2.23,82.0,1.7503641463414632,1.1090424427639056,0.2,0.765,1.78,2.43,5.25999
3,0,42.0,3.0647595238095238,2.98395736651437,0.72,1.6225,1.855,2.0949975,9.999989999999999,42.0,2.181425476190476,1.2523741498337142,1.05,1.71,1.91,2.0449900000000003,7.27999,42.0,2.4523788095238097,1.6312329478338,1.08,1.6125,1.999995,2.37,8.04999,42.0,0.7197616666666666,0.9132603055628042,0.25,0.45,0.51,0.595,4.60999,42.0,2.513807380952381,1.7399258938705597,1.41,1.7775,1.9049999999999998,2.165,9.18999
3,1,41.0,2.675850731707317,2.2839950269630513,0.52,1.73,1.98,2.24,9.999989999999999,41.0,2.18219243902439,1.0493881732080375,0.83,1.86999,1.97,2.12,7.479989999999999,41.0,2.304388536585366,1.4758544404116567,1.17,1.65,1.86999,2.35,8.18999,41.0,0.626829024390244,0.7796890781196208,0.22,0.36,0.46,0.6,4.89999,41.0,2.4180460975609757,1.5155267737157896,1.18,1.83,1.94,2.27999,9.21999
3,2,42.0,3.156425,2.5057779640762265,0.62,1.9049999999999998,2.04999,2.79,9.999989999999999,42.0,2.525712142857143,1.5353495049845398,1.31,1.735,1.9649999999999999,2.1775,7.99,42.0,2.983806428571429,2.2215929237196175,1.17,1.6175,2.135,3.1225000000000005,9.999989999999999,42.0,0.8478569047619047,1.0510368457965178,0.24,0.4025,0.51,0.6075,5.37999,42.0,3.014520476190476,2.0858297240315244,1.18,1.7975,2.105,2.86,9.67999
3,3,41.0,3.8321919512195115,3.0879002324016382,0.88,1.79,2.37,4.60999,9.999989999999999,41.0,3.026581463414634,2.0301763338409313,0.99,1.86999,2.21,3.31999,8.569989999999999,41.0,3.4434109756097566,2.5496820271190725,0.81,1.9,2.32999,4.75999,9.999989999999999,41.0,1.1726817073170734,1.4584537680946603,0.19,0.38,0.57,0.72,5.70999,41.0,3.7519473170731703,2.5418171321310905,1.31,2.14,2.5899900000000002,4.83,9.999989999999999
3,4,41.0,4.114872682926829,2.729655543917606,1.11,1.86999,3.44,5.62,9.999989999999999,41.0,3.5375565853658535,2.1416104829107105,0.79,1.91,3.03999,4.37,8.569989999999999,41.0,4.207068048780488,2.683097525958775,1.21,2.05999,3.23,5.56999,9.999989999999999,41.0,1.4004865853658535,1.6458087745324632,0.23,0.43,0.51,1.57,6.02999,41.0,4.479019512195121,2.628477486998843,1.2,2.27999,3.59999,6.06999,9.999989999999999
3,5,43.0,4.516506279069767,2.987011796892724,0.83,2.024995,3.18,6.94999,9.999989999999999,43.0,3.7111579069767444,2.2597684328789067,0.86,1.899995,2.78999,5.179995,8.569989999999999,43.0,4.805808139534884,3.0573995074387854,0.83,2.139995,3.73,7.51999,9.999989999999999,43.0,1.631393720930233,1.7057019897908021,0.14,0.38,0.63,2.4949950000000003,5.45999,43.0,4.901390697674418,2.7828000212114166,1.01,2.479995,4.06,6.954994999999999,9.999989999999999
